creationDate,startDate,endDate,kcalBurned,milesCycled
2018-04-27 15:15:28 -0700,2018-04-20 16:05:43 -0700,2018-04-20 16:29:33 -0700,199,4.31816
2018-04-29 10:21:52 -0700,2018-04-29 07:44:43 -0700,2018-04-29 10:20:23 -0700,1126.7,35.4348
2018-04-30 16:02:13 -0700,2018-04-30 15:36:19 -0700,2018-04-30 16:01:41 -0700,219.2,4.48332
2018-05-02 07:59:11 -0700,2018-05-02 07:32:32 -0700,2018-05-02 07:58:08 -0700,201.5,4.59784
2018-05-02 15:57:34 -0700,2018-05-02 15:27:46 -0700,2018-05-02 15:56:58 -0700,147.8,4.46312
2018-05-04 15:27:27 -0700,2018-05-04 15:02:31 -0700,2018-05-04 15:26:53 -0700,207.1,4.54583
2018-05-06 10:35:09 -0700,2018-05-06 07:34:30 -0700,2018-05-06 10:33:28 -0700,1212.1,40.7678
2018-05-07 16:06:56 -0700,2018-05-07 15:42:01 -0700,2018-05-07 16:06:24 -0700,199.3,4.366
2018-05-09 16:11:07 -0700,2018-05-09 15:46:54 -0700,2018-05-09 16:09:23 -0700,139.3,4.43802
2018-05-11 16:12:09 -0700,2018-05-11 15:47:18 -0700,2018-05-11 16:11:40 -0700,136.3,4.43423
2018-05-14 16:11:29 -0700,2018-05-14 15:43:46 -0700,2018-05-14 16:10:57 -0700,192.7,4.41329
2018-05-16 07:47:34 -0700,2018-05-16 07:19:04 -0700,2018-05-16 07:44:18 -0700,210,4.53365
2018-05-17 11:25:40 -0700,2018-05-16 15:06:16 -0700,2018-05-16 15:30:29 -0700,197.5,4.50817
2018-05-18 08:04:39 -0700,2018-05-18 07:31:59 -0700,2018-05-18 08:00:05 -0700,215.6,4.73876
2018-05-18 15:07:46 -0700,2018-05-18 14:40:36 -0700,2018-05-18 15:05:16 -0700,191.4,4.41341
2018-05-20 10:16:22 -0700,2018-05-20 07:37:40 -0700,2018-05-20 10:03:22 -0700,875.8,30.5226
2018-05-21 16:10:37 -0700,2018-05-21 15:44:40 -0700,2018-05-21 16:09:02 -0700,187.7,4.38707
2018-05-23 16:06:09 -0700,2018-05-23 15:40:09 -0700,2018-05-23 16:05:14 -0700,193.2,4.41031
2018-05-25 16:17:32 -0700,2018-05-25 15:43:25 -0700,2018-05-25 16:07:00 -0700,146.5,4.51358
2018-06-13 08:07:25 -0700,2018-06-13 07:37:24 -0700,2018-06-13 08:05:27 -0700,211,4.57994
2018-06-15 15:46:57 -0700,2018-06-15 15:12:33 -0700,2018-06-15 15:43:56 -0700,200,4.47828
2018-06-22 08:06:02 -0700,2018-05-30 15:36:34 -0700,2018-05-30 16:01:47 -0700,190.5,4.42447
2018-06-22 08:06:02 -0700,2018-06-11 15:36:19 -0700,2018-06-11 15:59:38 -0700,198.4,4.47804
2018-06-22 08:06:35 -0700,2018-06-22 07:39:20 -0700,2018-06-22 08:05:30 -0700,193.8,4.55956
2018-06-22 15:25:44 -0700,2018-06-22 15:01:09 -0700,2018-06-22 15:24:03 -0700,197,4.47878
2018-06-24 12:46:31 -0700,2018-06-24 11:52:53 -0700,2018-06-24 12:41:50 -0700,142.8,6.3821
2018-06-24 13:24:02 -0700,2018-06-24 12:46:43 -0700,2018-06-24 13:21:21 -0700,162.8,4.72621
2018-06-29 09:17:20 -0700,2018-06-29 07:25:50 -0700,2018-06-29 07:51:34 -0700,141.8,4.57404
